ID,Name,Device Count,Device IDs
254ae133-58a6-478c-a475-a5c298948050,Bedroom,1,ba6066cc-f109-4ce4-ad6a-aaaa661ff731
3df141cf-d719-40b1-a72b-76158ae374f0,Living Room,2,4c6a96e3-6622-4c97-8d85-d40270ef0b34;6001e5b9-677e-4235-8bf5-78ba78d00eea
67155e80-8bf1-4f38-92ae-18aa1b6a0b85,Bedroom,1,d2ed3dfa-1924-491c-9980-bc94e0d7be63
c9bfe63f-5693-45aa-abee-a2589ec9e221,Living Room,2,a2dfbf75-c08a-4916-8f0a-7071f72c0705;8d2b2684-53d2-4e9a-86ce-baed45fbdafb
61cd995c-fbcb-480d-af5e-8f748caad1d5,Living Room Updated,2,9972966b-124d-42cb-9c74-26367b2467b8;c819573b-7e93-4508-a5de-aef3e49a7ae4
a9edfb74-78ec-40b0-8e05-693a28b43c86,Living Room,2,d457901f-bae7-4ed0-996a-2498e5a222ee;dcea9719-c067-430f-89ac-ff0c0fb4e8f5
d48d7ba4-1732-4389-8642-193f51773132,Living Room Updated,2,3acd6376-49e0-4fd0-af27-886c5b1e09c4;0ced46ae-4b94-4208-b141-258700721c36
1e6a0e4a-1a81-4990-9d55-fee6561a95b7,Living Room Updated,2,36282fbe-8cc8-4d64-af9e-45dea3ec4356;2aa2341d-f44e-4aba-8396-971f24e1e93e
75122649-3da1-4ce4-ad66-0de3d62c221f,Bedroom,1,e3b33385-2106-478e-8512-06b61265e6b2
1aa14bb6-ebe5-4531-a0d1-fb92837cd200,Bedroom,1,7d5e9927-8653-40ee-b41f-320d93a45a47
373cbaf4-327a-4cd3-8db6-9e9d36e66391,Living Room Updated,2,b79cca01-c16b-48b9-afde-b616a331fe17;a7a5c708-8520-4ddb-a937-02f95fc867b7
9088b511-bef4-423f-b8a1-faa049a63547,Bedroom,1,3f7d9da0-2ed6-4897-a711-885f4b1fcd0a
7ceb5692-0b54-472b-a17e-86c441db7dfc,Living Room Updated,2,b895caee-83c4-42e8-b9e5-e695930deb90;7a2da159-69a4-481d-9ac6-4a2acf84a70b
3a073ad8-cb22-431b-9d44-a88f269afc23,Living Room,2,52a82917-c85f-497c-a56a-4c2805d2cb62;03093eab-d5d7-4bae-86d2-c89eb1629574
